Starhill_Accession_number,Longitude,Latitude,Species_Name,Genus,Species,Subspecific,Parentage,Year_Died,New_Compartment,Old_Compartment,Lot,Year_Outplanted
1995-017,-89.80077473,39.93441794,Quercus dentata,Quercus,dentata, 'Pinnatifida',,,C3,C,1,1995
2020-017,-89.80154607,39.93201108,Quercus dentata,Quercus,dentata,,,,,,5,
1994-025,-89.80239722,39.93525093,Quercus ellipsoidalis,Quercus,ellipsoidalis,,,,A2,AA,1,1994
2009-161,-89.80225,39.93283333,Quercus ellipsoidalis,Quercus,ellipsoidalis,,,,A6,OOOA,5,2009
2010-092,-89.8017876,39.93267358,Quercus ellipsoidalis,Quercus,ellipsoidalis,,,,A6,OOOA,7,2010
2003-026,-89.80026687,39.93505455,Quercus ellipsoidalis,Quercus,ellipsoidalis,,,,C2,CC,4,2003
2001-038,-89.80024039,39.93604084,Quercus ellipsoidalis,Quercus,ellipsoidalis,,,,D1,DDD,2,2001
1982-030,-89.80217376,39.93509168,Quercus fabrei,Quercus,fabrei,,,,A2,AA,1,1982
1999-026,-89.80144,39.935704,Quercus fabrei,Quercus,fabrei,,,,Oak Street,Oak Street,2,1999
1995-018,-89.80235749,39.93495287,Quercus faginea,Quercus,faginea,faginea,,,A2,AA,1,1995
2013-089,-89.80144,39.935704,Quercus faginea,Quercus,faginea,alpestris,,,Oak Street,Oak Street,1,2013
2013-090,-89.80144,39.935704,Quercus faginea,Quercus,faginea,alpestris,,,Oak Street,Oak Street,1,2013
1998-026,-89.80144,39.935704,Quercus faginea,Quercus,faginea,faginea,,,Oak Street,Oak Street,3,1998
2015-017,-89.80137739,39.93258088,Quercus faginea,Quercus,faginea,alpestris,,,B6,OOOB,2,2015
2012-051,-89.8013582,39.93241508,Quercus faginea,Quercus,faginea,faginea,F2,,B7,OOOOB,6,2012
1994-026,-89.80232907,39.93530349,Quercus falcata,Quercus,falcata,,,,A2,AA,4,1994
2010-093,-89.80194259,39.93282613,Quercus falcata,Quercus,falcata,,,,A6,OOOA,6,2010
2002-026,-89.80091496,39.93385459,Quercus falcata,Quercus,falcata,,,,B4,OB,5,2002
1982-031,-89.80237618,39.93516385,Quercus frainetto,Quercus,frainetto,,,,A2,AA,1,1982
2005-107,-89.8013333,39.93367916,Quercus frainetto,Quercus,frainetto,,,,B4,OB,3,2005
2018-018,-89.80128796,39.93207109,Quercus frainetto,Quercus,frainetto,,,,B7,OOOOB,4,2018
2020-018,-89.80143738,39.93192077,Quercus frainetto,Quercus,frainetto,,,,,,4,
2005-108,-89.80144,39.935704,Quercus fusiformis,Quercus,fusiformis,,,,Oak Street,Oak Street,2,2005
2002-027,-89.80125,39.93538333,Quercus fusiformis,Quercus,fusiformis,,,,Oak Street,Oak Street,1,2002
2008-044,-89.80198333,39.93303333,Quercus gambelii,Quercus,gambelii,,,,A6,OOOA,11,2008
2008-043,-89.80196667,39.93301667,Quercus gambelii,Quercus,gambelii,,,,A6,OOOA,12,2008
2015-018,-89.80193772,39.93224921,Quercus gambelii,Quercus,gambelii,,,,A7,OOOOA,15,2015
2019-063,-89.80144,39.9357,Quercus geminata,Quercus,geminata,,,,Oak Street,Oak Street,3,2019
1994-029,-89.80209421,39.9348279,Quercus georgiana,Quercus,georgiana,,,,A3,A,2,1994
1994-030,-89.80204962,39.93484743,Quercus georgiana,Quercus,georgiana,,,,A3,A,1,1994
2006-081,-89.80234869,39.9332283,Quercus georgiana_coccinea,Quercus,,,georgiana (f)_coccinea F1,,A5,OOA,1,2006
2006-051,-89.80144,39.935704,Quercus germana,Quercus,germana,,,,Oak Street,Oak Street,1,2006
2011-091,-89.80144,39.935704,Quercus germana,Quercus,germana,,,,Oak Street,Oak Street,2,2011
2018-055,-89.80144,39.935704,Quercus glauca,Quercus,glauca,,,,Oak Street,Oak Street,3,2018
2018-056,-89.80144,39.935704,Quercus glauca,Quercus,glauca,,,,Oak Street,Oak Street,3,2018
2016-099,89.801436,39.935728,Quercus glauca,Quercus,glauca,annelata,,,Oak Street,Oak Street,1,2016
1996-021,-89.80144,39.935704,Quercus graciliformis,Quercus,graciliformis,,,,Oak Street,Oak Street,1,1996
2016-100,-89.801436,39.935728,Quercus graciliformis,Quercus,graciliformis,,,,Oak Street,Oak Street,2,2016
2016-101,-89.801436,39.935728,Quercus graciliformis,Quercus,graciliformis,,,,Oak Street,Oak Street,3,2016
2000-026,-89.80144,39.935704,Quercus gravesii,Quercus,gravesii,,,,Oak Street,Oak Street,3,2000
2006-052,-89.80144,39.935704,Quercus gravesii,Quercus,gravesii,,,,Oak Street,Oak Street,2,2006
2005-057,-89.80069536,39.93519218,Quercus gravesii,Quercus,gravesii,,,,C2,CC,1,2005
2009-165,-89.80020359,39.93480485,Quercus gravesii,Quercus,gravesii,,,,C3,C,2,2009
1999-028,-89.80144,39.935704,Quercus griffithii,Quercus,griffithii,,,,Oak Street,Oak Street,2,1999
2006-054,-89.80144,39.935704,Quercus griffithii,Quercus,griffithii,,,,Oak Street,Oak Street,1,2006
1992-026,-89.80144,39.935704,Quercus grisea,Quercus,grisea,,,,Oak Street,Oak Street,2,1992
2013-092,-89.80144,39.935704,Quercus grisea,Quercus,grisea,,,,Oak Street,Oak Street,3,2013
2009-166,-89.80153333,39.93283333,Quercus haas,Quercus,haas,,,,B6,OOOB,2,2009
2008-045,-89.80141667,39.93298333,Quercus haas,Quercus,haas,,,,B6,OOOB,2,2008
2010-095,-89.80135778,39.9328118,Quercus haas,Quercus,haas,,,,B6,OOOB,2,2010
2004-036,-89.8012722,39.93326065,Quercus haas,Quercus,haas,,,,B5,OOB,1,2004
2007-035,-89.80122568,39.93334657,Quercus haas,Quercus,haas,,,,B5,OOB,2,2007
2004-037,-89.80104882,39.93324221,Quercus haas,Quercus,haas,,,,B5,OOB,1,2004
1993-013,-89.80225196,39.9349895,Quercus hartwissiana,Quercus,hartwissiana,,,2013,A2,AA,1,1993
2005-059,-89.800683,39.93519,Quercus havardii,Quercus,havardii,,,,C2,CC,2,2005
2014-114,-89.80144,39.935704,Quercus hirtifolia,Quercus,hirtifolia,,,,Oak Street,Oak Street,1,2014
1995-040,-89.80235062,39.93493368,Quercus pyrenaica_robur,Quercus,,,pyrenaica_robur(m) F1,,A2,AA,1,1995
2017-032,-89.80233503,39.932171,Quercus alba_ lyrata,Quercus,," ""Airport""",alba_ lyrata,,A7,OOOOA,1,2017
2012-031,-89.80227493,39.93246563,Quercus oglethorpensis_stellata,Quercus,,,oglethorpensis_stellata,,A6,OOOA,1,2012
2004-074,-89.80217937,39.9336515,Quercus laceyi_stellata,Quercus,,,laceyi (f)_stellata F1,,A5,OOA,1,2004
2017-059,-89.80214727,39.93199222,Quercus coccinea_falcata,Quercus,,,coccinea_falcata,,A7,OOOOA,1,2017
2007-045,-89.80214057,39.93321212,Quercus michauxii_macrocarpa,Quercus,,,michauxii_macrocarpa,,A5,OOA,1,2007
2006-084,-89.80210972,39.93363046,Quercus muehlenbergii_stellata,Quercus,,,muehlenbergii_stellata F2,,A5,OOA,1,2006
2017-060,-89.80210109,39.93194126,Quercus coccinea_pagoda,Quercus,,,coccinea_pagoda,,A7,OOOOA,1,2017
2006-088,-89.80207921,39.93338965,Quercus michauxii_macrocarpa,Quercus,,,michauxii_macrocarpa,,A5,OOA,1,2006
2010-126,-89.80206027,39.93266386,Quercus prinoides_virginiana,Quercus,,,prinoides_virginiana,,A6,OOOA,1,2010
2019-053,-89.80202,39.93308,Quercus turbinella_macrocarpa,Quercus,,,turbinella_macrocarpa,,A5,OOA,2,2019
2010-123,-89.80200436,39.932617,Quercus austrina_stellata,Quercus,,,austrina (f)_stellata,,A6,OOOA,1,2010
2010-151,-89.80198801,39.93257593,Quercus rubra_,Quercus,,,rubra_?,,A6,OOOA,1,2010
2008-076,-89.80198333,39.93326667,Quercus alba_muehlenbergii,Quercus,,,prinoides_muehlenbergii,,A5,OOA,2,2008
2008-074,-89.80191667,39.93293333,Quercus bicolor_muhlenbergii,Quercus,, 'KBCrystal',bicolor_muhlenbergii,,A6,OOOA,1,2008
2018-028,-89.80190403,39.93204754,Quercus alba_lyrata,Quercus,,,alba_lyrata F2,,A7,OOOOA,1,2018
2009-197,-89.8019,39.93285,Quercus macrocarpa_virginiana,Quercus,,,macrocarpa_virginiana,,A6,OOOA,2,2009
2003-059,-89.80179749,39.93547096,Quercus robur,Quercus,, 'Salfast' F2,robur 'Salicifolia'_robur 'Fastigiata',,A2,AA,1,2003
2016-035,-89.80174519,39.9320809,Quercus palustris_shumardii,Quercus,,,palustris_shumardii,,A7,OOOOA,1,2016
2015-093,-89.80174066,39.93226413,Quercus nuttallii_rubra_shumardii,Quercus,,,nuttallii_rubra or shumardii F2,,A7,OOOOA,1,2015
2016-036,-89.80171946,39.93214762,Quercus nuttallii_rubra,Quercus,,,nuttallii_rubra,,A7,OOOOA,1,2016
2016-016,-89.80170672,39.93222691,Quercus buckleyi_marilandica,Quercus,,,buckleyi_marilandica,,A7,OOOOA,1,2016
2004-078,-89.80167529,39.93355888,Quercus petraea_macranthera,Quercus,,,petraea_macranthera F2,,B5,OOB,2,2004
2004-088,-89.80166481,39.93359945,Quercus petraea_robur,Quercus,,,petraea 'Insecata'_robur F1,,B5,OOB,1,2004
2016-034,-89.8015887,39.93221367,Quercus frainetto_macranthera,Quercus,,,frainetto_macranthera 'Macon' F2,,B7,OOOOB,1,2016
2001-060,-89.80144,39.935704,Quercus cerrioides _faginea,Quercus,,,cerrioides _faginea,,Oak Street,Oak Street,1,2001
2001-063,-89.80144,39.935704,Quercus buckleyi_ gravesii,Quercus,,,buckleyi_ gravesii,,Oak Street,Oak Street,1,2001
2006-085,-89.80144,39.935704,Quercus fusiformis_virginiana,Quercus,,,fusiformis_virginiana,,Oak Street,Oak Street,1,2006
2004-081,-89.80144,39.935704,Quercus rysophylla_buckleyi,Quercus,,,rysophylla_buckleyi,,Oak Street,Oak Street,1,2004
2018-060,-89.80144,39.935704,Quercus rysophylla_nigra,Quercus,,,rysophylla_nigra,,Oak Street,Oak Street,1,2018
2003-061,-89.80136935,39.93377312,Quercus arkansana_falcata,Quercus,,,arkansana_falcata,,B4,OB,1,2003
2015-040,-89.80132685,39.93225734,Quercus macranthera_robur ,Quercus,,,macranthera (f)_robur fastigiata 'Monument',,B7,OOOOB,1,2015
2002-057,-89.80132199,39.93398175,Quercus castaneifolia_libani,Quercus,,,castaneifolia_libani,,B4,OB,1,2002
1999-059,-89.80125401,39.93382685,Quercus ellipsoidalis_rubra,Quercus,,,ellipsoidalis_rubra F2,,B4,OB,1,1999
2002-052,-89.80120347,39.93391352,Quercus georgiana_nigra,Quercus,,,georgiana (f)_nigra F1,,B4,OB,2,2002
2002-054,-89.80117388,39.93394202,Quercus nigra_coccinea,Quercus,, 'Fire Water',nigra (f)_coccinea F1,,B4,OB,1,2002
2001-065,-89.80112954,39.93390363,Quercus macranthera_petraea,Quercus,,,macranthera (f)_petraea F1,,B4,OB,1,2001
1999-057,-89.80104832,39.93406934,Quercus georgiana_nigra,Quercus,,,georgiana (f)_nigra F1,,B4,OB,1,1999
2019-029,-89.80103,39.93453,Quercus robur_alba,Quercus,,‘JFS-KW2QX’ TM-Skinny Genes,robur_alba,,B3,B,1,2019
2000-056,-89.80100909,39.93393028,Quercus sargentii_macrocarpa,Quercus,,,sargentii (f)_macrocarpa F3,,B4,OB,1,2000
2002-055,-89.80091329,39.93398837,Quercus ellipsoidalis_rubra,Quercus,,,ellipsoidalis_rubra F2,,B4,OB,1,2002
2019-031,-89.80087,39.93443,Quercus robur_alba,Quercus,,JFS-KW1QX' TM-Streetspire,robur_alba,,C3,C,1,2019
2004-080,-89.80044415,39.93459195,Quercus prinoides_muehlenbergii,Quercus,,,prinoides_muehlenbergii,,C3,C,2,2004
2001-064,-89.80007468,39.93604311,Quercus prinoides_muehlenbergii,Quercus,,,georgiana (f)_nigra F1,,D1,DDD,1,2001
2000-057,-89.79855269,39.93565176,Quercus georgiana_nigra,Quercus,,,macrocarpa_virginiana,,F1,FFF,1,2000
2001-023,-89.79838111,39.93587731,Quercus schuettei_macrocarpa,Quercus,,,schuettei_macrocarpa,,F1,FFF,1,2001
2021-014,-89.802,39.93226,Quercus nuttallii_nigra,Quercus,,,nuttallii_nigra,F2,,,NA,2021
1994-031,-89.80144,39.935704,Quercus ilex,Quercus,ilex,,,,Oak Street,Oak Street,1,1994
2015-086,-89.80144,39.935704,Quercus ilex,Quercus,ilex,,,,Oak Street,Oak Street,6,2015
2011-007,-89.80125418,39.93401477,Quercus incana,Quercus,incana,,,,B4,OB,3,2011
1998-029,-89.80121667,39.9354,Quercus incana,Quercus,incana,,,,B2,BB,1,1998
2002-029,-89.8012,39.9354,Quercus incana,Quercus,incana,,,,B2,BB,2,2002
2013-094,-89.80144,39.935704,Quercus infectoria,Quercus,infectoria,boissieri,,,Oak Street,Oak Street,4,2013
2018-019,-89.80126147,39.93200538,Quercus infectoria,Quercus,infectoria,veneris, pubescens?,,B7,OOOOB,1,2018
2005-060,-89.80060517,39.93523819,Quercus kelloggii,Quercus,kelloggii,,,,C2,CC,1,2005
2011-073,-89.80196874,39.93310307,Quercus laceyi,Quercus,laceyi,,,,A5,OOA,5,2011
2010-099,-89.80188794,39.93275656,Quercus laceyi,Quercus,laceyi,,,,A6,OOOA,5,2010
2000-028,-89.80144,39.935704,Quercus laceyi,Quercus,laceyi,,,,Oak Street,Oak Street,3,2000
2009-170,-89.8016,39.93298333,Quercus libani,Quercus,libani,,,,B6,OOOB,3,2009
2012-030,-89.80155417,39.93261147,Quercus libani,Quercus,libani,,,,B6,OOOB,8,2012
2015-087,-89.80150656,39.93209515,Quercus libani,Quercus,libani,,,,B7,OOOOB,9,2015
2005-061,-89.80147052,39.93323643,Quercus libani,Quercus,libani,,,,B5,OOB,1,2005
2003-029,-89.80144,39.935704,Quercus libani,Quercus,libani,,,,Oak Street,Oak Street,7,2003
2008-048,-89.80143333,39.93315,Quercus libani,Quercus,libani,,,,B6,OOOB,2,2008
1999-032,-89.80144,39.935704,Quercus lobata,Quercus,lobata,,,,Oak Street,Oak Street,1,1999
1988-012,-89.80223897,39.93501121,Quercus lyrata,Quercus,lyrata,,,,A2,AA,3,1988
2016-077,-89.80207678,39.93204217,Quercus lyrata,Quercus,lyrata,,,,A7,OOOOA,7,2016
2018-063,-89.80202221,39.93192215,Quercus lyrata,Quercus,lyrata,,,,A7,OOOOA,9,2018
2015-020,-89.80183664,39.93227486,Quercus lyrata,Quercus,lyrata,,,,A7,OOOOA,5,2015
1994-033,-89.80224341,39.93495966,Quercus macranthera,Quercus,macranthera,,,,A2,AA,1,1994
2007-037,-89.80153682,39.93322763,Quercus macranthera,Quercus,macranthera,,,,B5,OOB,2,2007
2012-035,-89.80147948,39.93255288,Quercus macranthera,Quercus,macranthera,,,,B6,OOOB,4,2012
2015-089,-89.8014504,39.93211417,Quercus macranthera,Quercus,macranthera,,,,B7,OOOOB,5,2015
2012-020,-89.80142609,39.93253386,Quercus macranthera,Quercus,macranthera,syspirensis,,,B6,OOOB,2,2012
2005-062,-89.80138293,39.93323115,Quercus macranthera,Quercus,macranthera,syspirensis,,,B5,OOB,1,2005
2010-100,-89.80131327,39.93279353,Quercus macranthera,Quercus,macranthera,,,,B6,OOOB,4,2010
2018-021,-89.8012225,39.93200949,Quercus macranthera,Quercus,macranthera,,,,B7,OOOOB,6,2018
1982-032,-89.80226889,39.93523518,Quercus macrocarpa,Quercus,macrocarpa,,,,A2,AA,1,1982
1994-036,-89.80212481,39.93502026,Quercus macrocarpa,Quercus,macrocarpa, 'Rough Rider',,,A2,AA,1,1994
2015-021,-89.80212288,39.93219255,Quercus macrocarpa,Quercus,macrocarpa,Big John',,,A7,OOOOA,1,2015
1985-022,-89.80212238,39.93520894,Quercus macrocarpa,Quercus,macrocarpa,,,,A2,AA,3,1985
1900-043,-89.80085,39.93553333,Quercus macrocarpa,Quercus,macrocarpa,,,,C1,CCC,2,spontaneous
2019-051,-89.80077,39.93467,Quercus macrocarpa,Quercus,macrocarpa,Motherlode',,,C3,C,1,2019
1900-044,-89.80053333,39.93555,Quercus macrocarpa,Quercus,macrocarpa,,,,C1,CCC,2,spontaneous
2019-013,-89.80049,39.93308,Quercus macrocarpa,Quercus,macrocarpa,,,,C5,OOC,110,2019
2016-023,-89.80047299,39.93330482,Quercus macrocarpa,Quercus,macrocarpa,,,,C5,OOC,100,2016
2016-024,-89.80046192,39.93319955,Quercus macrocarpa,Quercus,macrocarpa,,,,C5,OOC,101,2016
2012-021,-89.80045907,39.93338655,Quercus macrocarpa,Quercus,macrocarpa,,,,C5,OOC,86,2012
2016-026,-89.80042228,39.9331718,Quercus macrocarpa,Quercus,macrocarpa,,,,C5,OOC,103,2016
2016-025,-89.80041859,39.93320332,Quercus macrocarpa,Quercus,macrocarpa,,,,C5,OOC,104,2016
2014-070,-89.80041431,39.93331815,Quercus macrocarpa,Quercus,macrocarpa,,,,C5,OOC,90,2014
2015-025,-89.80040166,39.93331094,Quercus macrocarpa,Quercus,macrocarpa,,,,C5,OOC,96,2015
2014-075,-89.80039931,39.93350171,Quercus macrocarpa,Quercus,macrocarpa,,,,C5,OOC,92,2014
2019-001,-89.80038,39.9331,Quercus macrocarpa,Quercus,macrocarpa,,,,C5,OOC,109,2019
2014-071,-89.80036528,39.93333315,Quercus macrocarpa,Quercus,macrocarpa,,,,C5,OOC,93,2014
2013-034,-89.80036285,39.93344958,Quercus macrocarpa,Quercus,macrocarpa, 'Rough Rider',,,C5,OOC,1,2013
2017-025,-89.80033661,39.9331542,Quercus macrocarpa,Quercus,macrocarpa,,,,C5,OOC,103,2017
2014-072,-89.80033536,39.93340432,Quercus macrocarpa,Quercus,macrocarpa,,,,C5,OOC,95,2014
2017-026,-89.80030585,39.93327314,Quercus macrocarpa,Quercus,macrocarpa,,,,C5,OOC,104,2017
2014-069,-89.80028708,39.9335101,Quercus macrocarpa,Quercus,macrocarpa,,,,C5,OOC,89,2014
2014-073,-89.8002771,39.93342234,Quercus macrocarpa,Quercus,macrocarpa,,,,C5,OOC,94,2014
2016-027,-89.80027509,39.93324255,Quercus macrocarpa,Quercus,macrocarpa,,,,C5,OOC,102,2016
2013-038,-89.80027291,39.93359056,Quercus macrocarpa,Quercus,macrocarpa, 'Big John',,,C5,OOC,1,2013
2015-022,-89.80025682,39.93337112,Quercus macrocarpa,Quercus,macrocarpa,,,,C5,OOC,97,2015
2014-074,-89.80022664,39.93347665,Quercus macrocarpa,Quercus,macrocarpa,,,,C5,OOC,91,2014
2015-024,-89.80020368,39.93342955,Quercus macrocarpa,Quercus,macrocarpa,,,,C5,OOC,99,2015
2015-023,-89.80019186,39.93341672,Quercus macrocarpa,Quercus,macrocarpa,,,,C5,OOC,98,2015
2018-022,-89.8001885,39.93321874,Quercus macrocarpa,Quercus,macrocarpa,,,,D5,OOD,105,2018
2018-024,-89.80013461,39.93336149,Quercus macrocarpa,Quercus,macrocarpa,,,,D5,OOD,107,2018
2018-023,-89.80010619,39.93330105,Quercus macrocarpa,Quercus,macrocarpa,,,,D5,OOD,106,2018
2018-025,-89.80009404,39.93338764,Quercus macrocarpa,Quercus,macrocarpa,,,,D5,OOD,108,2018
1997-039,-89.79855,39.93546667,Quercus macrocarpa,Quercus,macrocarpa,,,,F2,FF,43,1997
1994-039,-89.7985,39.93535,Quercus macrocarpa,Quercus,macrocarpa,,,,F2,FF,33,1994
2009-176,-89.79848966,39.93595158,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,76,2009
2009-173,-89.79847147,39.93589877,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,75,2009
2010-106,-89.79846879,39.93597832,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,83,2010
1997-038,-89.79846636,39.93555428,Quercus macrocarpa,Quercus,macrocarpa, 'Lippert' F2,,,F1,FFF,27,1997
2009-172,-89.79846627,39.93588955,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,74,2009
1994-054,-89.79845,39.93541667,Quercus macrocarpa,Quercus,macrocarpa,,,,F2,FF,26,1994
1994-060,-89.79845,39.93555,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,31,1994
1994-050,-89.79843333,39.9354,Quercus macrocarpa,Quercus,macrocarpa,,,,F2,FF,25,1994
1994-057,-89.79843333,39.93548333,Quercus macrocarpa,Quercus,macrocarpa,,,,F2,FF,32,1994
2009-174,-89.79842411,39.93593222,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,73,2009
1994-059,-89.7984,39.93555,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,34,1994
2008-050,-89.7984,39.93595,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,71,2008
2009-175,-89.79839084,39.93597002,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,77,2009
2010-107,-89.79838195,39.93601168,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,84,2010
2002-034,-89.79837307,39.93557774,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,39,2002
1994-049,-89.79836667,39.9354,Quercus macrocarpa,Quercus,macrocarpa,,,,F2,FF,21,1994
1994-056,-89.79836667,39.93545,Quercus macrocarpa,Quercus,macrocarpa,,,,F2,FF,24,1994
2002-032,-89.79836667,39.93598333,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,51,2002
2011-037,-89.79836309,39.93592777,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,85,2011
2010-101,-89.79834817,39.93599734,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,78,2010
1996-032,-89.79833401,39.93559761,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,38,1996
1994-044,-89.79833333,39.93538333,Quercus macrocarpa,Quercus,macrocarpa,,,,F2,FF,20,1994
1994-058,-89.79833333,39.9355,Quercus macrocarpa,Quercus,macrocarpa,,,,F2,FF,16,1994
1995-023,-89.79833333,39.93546667,Quercus macrocarpa,Quercus,macrocarpa,,,,F2,FF,28,1995
1996-025,-89.79831667,39.93543333,Quercus macrocarpa,Quercus,macrocarpa,,,,F2,FF,19,1996
2002-038,-89.79830308,39.93557397,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,52,2002
1996-033,-89.79830174,39.93559065,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,39,1996
1994-048,-89.79828333,39.9354,Quercus macrocarpa,Quercus,macrocarpa,,,,F2,FF,18,1994
1996-027,-89.79828333,39.93548333,Quercus macrocarpa,Quercus,macrocarpa,,,,F2,FF,36,1996
1996-029,-89.79828333,39.9355,Quercus macrocarpa,Quercus,macrocarpa,,,,F2,FF,35,1996
1997-040,-89.79827349,39.9355956,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,45,1997
2008-051,-89.79826667,39.93595,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,68,2008
1994-061,-89.79826553,39.93539762,Quercus macrocarpa,Quercus,macrocarpa,,,,F2,FF,15,1994
2010-105,-89.79825463,39.93597647,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,82,2010
1994-042,-89.79825,39.93538333,Quercus macrocarpa,Quercus,macrocarpa,,,,F2,FF,12,1994
1994-043,-89.79825,39.93538333,Quercus macrocarpa,Quercus,macrocarpa,,,,F2,FF,16,1994
1994-047,-89.79825,39.9354,Quercus macrocarpa,Quercus,macrocarpa,,,,F2,FF,13,1994
1994-052,-89.79825,39.93541667,Quercus macrocarpa,Quercus,macrocarpa,,,,F2,FF,17,1994
1996-031,-89.79825,39.93553333,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,37,1996
2010-102,-89.79824927,39.93601184,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,79,2010
2008-054,-89.79824918,39.93571303,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,51,2008
2005-064,-89.79823703,39.93590187,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,66,2005
2002-033,-89.79823594,39.93557364,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,46,2002
2005-065,-89.7982341,39.93582669,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,67,2005
1994-038,-89.79823333,39.93535,Quercus macrocarpa,Quercus,macrocarpa,,,,F2,FF,11,1994
2005-063,-89.79822571,39.93582753,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,68,2005
2010-104,-89.79821876,39.93598511,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,72,2010
1994-037,-89.79821667,39.93535,Quercus macrocarpa,Quercus,macrocarpa,,,,F2,FF,14,1994
2003-037,-89.79821557,39.93574572,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,57,2003
2009-212,-89.79820702,39.93594068,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,72,2009
2004-040,-89.79820509,39.93577581,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,63,2004
1994-040,-89.7982,39.93536667,Quercus macrocarpa,Quercus,macrocarpa,,,,F2,FF,10,1994
2002-035,-89.79819705,39.9356168,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,41,2002
2004-042,-89.79818707,39.93589181,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,65,2004
1994-046,-89.79818333,39.9354,Quercus macrocarpa,Quercus,macrocarpa,,,,F2,FF,8,1994
2008-053,-89.79817819,39.93574563,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,59,2008
2010-103,-89.79816897,39.93594789,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,80,2010
1996-028,-89.79816667,39.9355,Quercus macrocarpa,Quercus,macrocarpa,,,,F2,FF,40,1996
2003-034,-89.79816667,39.93581667,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,59,2003
2003-036,-89.7981636,39.93571554,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,56,2003
2004-041,-89.79815036,39.93577112,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,64,2004
1994-034,-89.79815,39.93545,Quercus macrocarpa,Quercus,macrocarpa, 'Ashworth' F2,,,F2,FF,9,1994
1996-030,-89.79815,39.93551667,Quercus macrocarpa,Quercus,macrocarpa,,,,F2,FF,41,1996
2002-041,-89.79814148,39.93568352,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,55,2002
1994-035,-89.79813333,39.93545,Quercus macrocarpa,Quercus,macrocarpa, 'Lippert' F2,,,F2,FF,27,1994
1994-045,-89.79813333,39.9354,Quercus macrocarpa,Quercus,macrocarpa,,,,F2,FF,5,1994
1994-051,-89.79813333,39.93541667,Quercus macrocarpa,Quercus,macrocarpa,,,,F2,FF,7,1994
1996-026,-89.79813333,39.93546667,Quercus macrocarpa,Quercus,macrocarpa,,,,F2,FF,42,1996
2002-039,-89.79812773,39.93565704,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,53,2002
1994-041,-89.79811667,39.93538333,Quercus macrocarpa,Quercus,macrocarpa,,,,F2,FF,6,1994
2003-039,-89.7981118,39.93572677,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,60,2003
1998-033,-89.79809244,39.93555897,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,7,1998
1997-041,-89.79808859,39.93552879,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,44,1997
2003-035,-89.79804617,39.93571353,Quercus macrocarpa,Quercus,macrocarpa,,,,F1,FFF,61,2003
2021-011,-89.8005,39.93304,Quercus macrocarpa,Quercus,macrocarpa,,,,C6,OOC,111,2021
